"geomid","iso3"
1,"ABW"
2,"AFG"
3,"AGO"
4,"AIA"
5,"ALA"
6,"ALB"
7,"AND"
8,"ARE"
9,"ARG"
10,"ARM"
11,"ASM"
12,"ATA"
13,"ATF"
14,"ATG"
15,"AUS"
16,"AUT"
17,"AZE"
18,"BDI"
19,"BEL"
20,"BEN"
21,"BES"
22,"BFA"
23,"BGD"
24,"BGR"
25,"BHR"
26,"BHS"
27,"BIH"
70,"ESP"
71,"EST"
72,"ETH"
28,"BLM"
29,"BLR"
30,"BLZ"
31,"BMU"
32,"BOL"
33,"BRA"
34,"BRB"
35,"BRN"
36,"BTN"
37,"BVT"
38,"BWA"
39,"CAF"
40,"CAN"
41,"CCK"
42,"CHE"
43,"CHL"
44,"CHN"
45,"CIV"
46,"CMR"
47,"COD"
48,"COG"
49,"COK"
50,"COL"
51,"COM"
52,"CPV"
53,"CRI"
54,"CUB"
55,"CUW"
73,"FIN"
74,"FJI"
75,"FLK"
76,"FRA"
77,"FRO"
78,"FSM"
79,"GAB"
80,"GBR"
81,"GEO"
82,"GGY"
83,"GHA"
110,"ISL"
111,"ISR"
112,"ITA"
56,"CXR"
57,"CYM"
58,"CYP"
59,"CZE"
60,"DEU"
61,"DJI"
62,"DMA"
63,"DNK"
64,"DOM"
65,"DZA"
66,"ECU"
67,"EGY"
68,"ERI"
69,"ESH"
84,"GIB"
85,"GIN"
86,"GLP"
87,"GMB"
88,"GNB"
89,"GNQ"
90,"GRC"
91,"GRD"
92,"GRL"
93,"GTM"
94,"GUF"
95,"GUM"
96,"GUY"
97,"HKG"
98,"HMD"
99,"HND"
100,"HRV"
101,"HTI"
102,"HUN"
103,"IDN"
104,"IMN"
105,"IND"
106,"IOT"
107,"IRL"
108,"IRN"
109,"IRQ"
113,"JAM"
114,"JEY"
115,"JOR"
116,"JPN"
117,"KAZ"
118,"KEN"
119,"KGZ"
120,"KHM"
121,"KIR"
122,"KNA"
123,"KOR"
124,"KWT"
125,"LAO"
126,"LBN"
127,"LBR"
128,"LBY"
129,"LCA"
141,"MDG"
142,"MDV"
143,"MEX"
144,"MHL"
145,"MKD"
146,"MLI"
147,"MLT"
148,"MMR"
149,"MNE"
150,"MNG"
151,"MNP"
152,"MOZ"
153,"MRT"
160,"NAM"
161,"NCL"
162,"NER"
178,"PLW"
179,"POL"
180,"PRI"
181,"PRK"
182,"PRT"
183,"PRY"
184,"PSE"
185,"PYF"
186,"QAT"
187,"REU"
188,"ROU"
189,"RUS"
190,"RWA"
191,"SAU"
192,"SDN"
130,"LIE"
131,"LKA"
132,"LSO"
133,"LTU"
134,"LUX"
135,"LVA"
155,"MTQ"
156,"MUS"
157,"MWI"
158,"MYS"
136,"MAC"
159,"MYT"
168,"NOR"
137,"MAF"
138,"MAR"
139,"MCO"
140,"MDA"
154,"MSR"
163,"NFK"
164,"NGA"
165,"NIC"
169,"NPL"
170,"NRU"
171,"NZL"
172,"OMN"
173,"PAK"
174,"PAN"
193,"SEN"
194,"SGP"
195,"SGS"
196,"SHN"
197,"SJM"
198,"SLB"
166,"NIU"
167,"NLD"
175,"PCN"
176,"PER"
177,"PHL"
199,"SLE"
200,"SLV"
201,"SMR"
202,"SOM"
203,"SPM"
204,"SRB"
205,"SSD"
206,"STP"
207,"SUR"
208,"SVK"
209,"SVN"
210,"SWE"
211,"SWZ"
212,"SXM"
213,"SYC"
214,"SYR"
215,"TCA"
216,"TCD"
217,"TGO"
218,"THA"
219,"TJK"
220,"TKL"
221,"TKM"
222,"TLS"
223,"TON"
224,"TTO"
225,"TUN"
226,"TUR"
227,"TUV"
228,"TWN"
229,"TZA"
230,"UGA"
231,"UKR"
232,"UMI"
233,"URY"
234,"USA"
235,"UZB"
236,"VAT"
237,"VCT"
238,"VEN"
239,"VGB"
240,"VIR"
241,"VNM"
242,"VUT"
243,"WLF"
244,"WSM"
245,"XAD"
246,"XCL"
247,"XKO"
248,"XNC"
249,"XPI"
250,"XSP"
251,"YEM"
252,"ZAF"
253,"ZMB"
254,"ZWE"
3865,"PNG"
